SUPPLIERS AND EMPLOYEE WEIGHTING RATIO,,,,,,,,,,,,,,,,
,added value of suppliers (source: income statement),Splitted added value (source¿?),Country,PPP index (source¿?),Added value adjusted,Total,%,ITUC (average),Industry,nace,ecol. Impact (A3),,,social impact (A1),,
YEM Yemen ,"Yemen, Rep.",2.72670818512769000,-,Asia,6.0000000000000000,est,,,YEM,,,,,,,
ZAF South Africa ,South Africa,2.14728927155068000,-,Africa,2.0000000000000000,,,,ZAF,,,,,,,
ZMB Zambia ,Zambia,2.74297454566507000,-,Africa,4.0000000000000000,,,,ZMB,,,,,,,
ZWE Zimbabwe ,Zimbabwe,1.41117750678159000,-,Africa,5.0000000000000000,,,,ZWE,,,,,,,
Average Africa,Africa,2.51455039477944000,,,3.7900000000000000,,,,Average Africa,,,,,,,
Average Americas,Americas,1.17486233777459000,,,3.5200000000000000,,,,Average Americas,,,,,,,
Average Asia,Asia,2.57526049680317000,,,4.4700000000000000,,,,Average Asia,,,,,,,
Average Europe,Europe,1.03314026740667000,,,2.5500000000000000,,,,Average Europe,,,,,,,
Average Oceania,Oceania,1.49858687129258000,,,4.0500000000000000,,,,Average Oceania,,,,,,,
0,,1.00304566871495000,,,3.2380952380952400,,,,World,,,,,,,
,,1.83434611496898000,,,,,,,,,,,,,,
